street,name,lon,lat,religion,county,subcounty,type
address unknown,pentecostal fellowship church,36.776544,-1.311537,christian,nairobi city,kibra,religion
address unknown,voice of salvation,36.779094,-1.314991,christian,nairobi city,kibra,religion
address unknown,masjid jamia salama mosque,36.78202,-1.310845,muslim,nairobi city,kibra,religion
address unknown,alaqsa mosque,36.780427,-1.31012,muslim,nairobi city,kibra,religion
address unknown,new hife home missionary,36.782023,-1.307716,christian,nairobi city,kibra,religion
address unknown,makongeni catholic church,36.788888,-1.309097,christian,nairobi city,kibra,religion
address unknown,pag church nyanza region,36.796619,-1.318001,christian,nairobi city,kibra,religion
address unknown,aic church,36.799252,-1.317863,christian,nairobi city,kibra,religion
address unknown,handmark baptised church,36.799261,-1.31717,christian,nairobi city,kibra,religion
address unknown,revival church,36.800778,-1.313885,christian,nairobi city,langata,religion
address unknown,reedemed gospel church-laini saba,36.795781,-1.31104,christian,nairobi city,kibra,religion
address unknown,better life center kibera church,36.776437,-1.289904,christian,nairobi city,westlands,religion
address unknown,apostolic fellowship church of kibera,36.791598,-1.31363,christian,nairobi city,kibra,religion
address unknown,lindi friends church,36.79397,-1.316676,christian,nairobi city,kibra,religion
address unknown,deliverance church,36.796358,-1.318639,christian,nairobi city,kibra,religion
address unknown,jamhuri sda church,36.772001,-1.308223,christian,nairobi city,kibra,religion
address unknown,sodid rock revival church,36.772677,-1.307406,christian,nairobi city,kibra,religion
address unknown,seventh day adventist church,36.790465,-1.308736,christian,nairobi city,kibra,religion
address unknown,fpkf church,36.78257,-1.307093,christian,nairobi city,kibra,religion
address unknown,a.b.c church,36.795358,-1.311823,christian,nairobi city,kibra,religion
address unknown,church of mercy,36.782792,-1.313783,christian,nairobi city,kibra,religion
address unknown,st george orthodox church,36.775174,-1.311843,christian,nairobi city,kibra,religion
address unknown,katwekera sda church,36.781124,-1.314593,christian,nairobi city,kibra,religion
address unknown,kambi madrasa,36.785441,-1.305907,muslim,nairobi city,kibra,religion
address unknown,jamhuri church of christ,36.774116,-1.311314,christian,nairobi city,kibra,religion
address unknown,k.a.g church,36.787396,-1.311465,christian,nairobi city,kibra,religion
address unknown,assemblies of god kibera,36.798388,-1.312765,christian,nairobi city,kibra,religion
address unknown,christ the king parish,36.794508,-1.310428,christian,nairobi city,kibra,religion
address unknown,masjid salaam,36.829568,-1.319608,muslim,nairobi city,langata,religion
address unknown,mandir,36.818377,-1.25703,hindu,nairobi city,westlands,religion
oloitoktok road,methodist ministries centre,36.776318,-1.290285,christian,nairobi city,westlands,religion
address unknown,shree jalaram satsang mandal,36.806788,-1.257561,hindu,nairobi city,westlands,religion
kingara road,emmanuel baptist church,36.76115,-1.291899,christian,nairobi city,westlands,religion
address unknown,outreach community church,36.792732,-1.311421,christian,nairobi city,kibra,religion
address unknown,outreach community church,36.775136,-1.312513,christian,nairobi city,kibra,religion
thika road,overcomming faith church (ofc),36.87902,-1.228967,christian,nairobi city,kasarani,religion
kasarani mwiki road,the nairobi korean church,36.903821,-1.220051,christian,nairobi city,kasarani,religion
murang'a road,pbbm,36.826497,-1.272256,christian,nairobi city,starehe,religion
address unknown,azusa world ministries,36.775469,-1.314795,christian,nairobi city,kibra,religion
address unknown,pcea church kuwinda,36.743447,-1.334867,christian,nairobi city,langata,religion
address unknown,anglican church of kenya,36.787174,-1.227045,christian,nairobi city,westlands,religion
address unknown,pcea kayole,36.913325,-1.27089,christian,nairobi city,embakasi,religion
tembo road,ack - st. mathews church karen,36.742293,-1.366521,christian,nairobi city,langata,religion
mai mahiu road,pcea nairobi west,36.818963,-1.312924,christian,nairobi city,langata,religion
address unknown,st. catherine of siena catholic church,36.775189,-1.233405,christian,nairobi city,westlands,religion
address unknown,nairobi pentecostal church (central),36.805569,-1.291698,christian,nairobi city,westlands,religion
address unknown,saint bakhita,36.778403,-1.315688,christian,nairobi city,kibra,religion
address unknown,nomiya church,36.794803,-1.318893,christian,nairobi city,kibra,religion
address unknown,world ecclesiastes church,36.794877,-1.319261,christian,nairobi city,kibra,religion
