street,institution,lon,lat,amenity,county,subcounty,type
Kakamega Mumias rd,Kakamega Youth Empowerment Forum (KYEF),36.87937991,-1.279569803,YEC,Nairobi City,makadara,institution
"Kariobangi North, Cooperative Bank",Kenya Slum Youths Development Organization,36.82718669,-1.284482329,YEC,Nairobi City,starehe,institution
Nyerere rd Luther Plaza,Youth Empowerment Support Services - Kenya,36.81433884,-1.278809484,YEC,Nairobi City,starehe,institution
Mutarakwa rd,Kibera Slums Youth Development Programme,36.82079496,-1.288550009,YEC,Nairobi City,starehe,institution
Nairobi Education center Haile selassie ave,Mission For Youth Development,36.82194296,-1.291909544,YEC,Nairobi City,starehe,institution
"Aldin Hse, Haile Selassie ave",Kenya Youth Development Assistance,36.82388516,-1.290838241,YEC,Nairobi City,starehe,institution
Mama Ngina st,Kenya youth development foundation,36.82152427,-1.286496114,YEC,Nairobi City,starehe,institution
Savannah Donholm,Kenya Youth Development Assistance,36.90162404,-1.290804492,YEC,Nairobi City,embakasi,institution
Spine Rd behind Naivas Supermarket ,Kenya Slum youth Development Organization,36.91271749,-1.269833446,YEC,Nairobi City,embakasi,institution
Spine Rd behind Naivas Supermarket ,Kenya Slum youth Development Organization,36.91271749,-1.269833446,YEC,Nairobi City,embakasi,institution
Village Market,Malava Women And Youth Empowerment Centre,36.80483656,-1.229320602,YEC,Nairobi City,westlands,institution
Olenguruone Rd,Centre For Women And Youth Development,36.77793103,-1.278467558,YEC,Nairobi City,westlands,institution
Ndururumo St,Mathare Kasarani Youth Development Organisation,36.87204798,-1.256199539,YEC,Nairobi City,mathare,institution
"Ndemi close, off Muringa Rd",Mission For Youth Development,36.77654052,-1.295246426,YEC,Nairobi City,westlands,institution
Chyulu Rd,Mukoa Youth Development Orgasation,36.81101702,-1.297132687,YEC,Nairobi City,kibra,institution
Jamhuri Estate Kibera Dr,Remy Youth Development And Relief Organization,36.768331,-1.30252496,YEC,Nairobi City,kibra,institution
Gitanga Rd,Kabiro Youth Center,36.75157969,-1.285910572,YEC,Nairobi City,dagoretti,institution
Kangundo Rd,Mathare Youth Sports Association - MYSA Kenya,36.9092139,-1.259785823,YEC,Nairobi City,njiru,institution
Delight Apartments Diani Rd off Ole Odume Rd,Youth Alive! Kenya,36.77536647,-1.290447292,YEC,Nairobi City,westlands,institution
Loita Street,National Youth Council Kenya,36.8165642,-1.275960856,YEC,Nairobi City,starehe,institution
Unknown,Identity 254,36.83721023,-1.301907749,YEC,Nairobi City,starehe,institution
"Tetu Apartments Ralph Bunce Rd, Milimani Ln",Pawa254,36.80577253,-1.279866125,YEC,Nairobi City,westlands,institution
Dagoretti,CFK Africa Young Health and Wellness Center,36.77943953,-1.310223568,YEC,Nairobi City,kibra,institution
Kariobangi Light Industries ,Slum Boys Youth Development Project,36.88025412,-1.251559472,YEC,Nairobi City,embakasi,institution
Kariobangi Light Industries ,Slum Boys Youth Development Project,36.88025412,-1.251559472,YEC,Nairobi City,kasarani,institution
Goan Institute 1 Juja Rd ,True Talents of Africa,36.83319219,-1.260149725,YEC,Nairobi City,westlands,institution
Kasuku Rd Ibanda,Marianne Foundation for Youth Development,36.79233633,-1.289416793,YEC,Nairobi City,westlands,institution
"MNG Apartments, Ndemi Rd",The Youth Agenda,36.77783095,-1.295251795,YEC,Nairobi City,westlands,institution
Mukuru,HOPE worldwide Kenya - Mukuru Center of HOPE,36.87105207,-1.312555441,YEC,Nairobi City,makadara,institution
Kwa D.O Rd Off Spine Rd,Embakasi Youth Resource Centre,36.90875895,-1.26018273,YEC,Nairobi City,njiru,institution
Kariobangi South Kamunde Rd,Youth Initiatives Kenya (Yike),36.88185652,-1.254882773,YEC,Nairobi City,embakasi,institution
Kariobangi South Kamunde Rd,Youth Initiatives Kenya (Yike),36.88185652,-1.254882773,YEC,Nairobi City,kasarani,institution
