street,company_name,lon,lat,landuse,county,subcounty,type
unknown,unknown,36.8505476,-1.304412,industrial,nairobi city,kasarani,industry
unknown,unknown,36.8506816,-1.3054307,industrial,nairobi city,kasarani,industry
likoni road,unknown,36.8523254,-1.3060798,industrial,nairobi city,makadara,industry
unknown,unknown,36.8504569,-1.3038862,industrial,nairobi city,njiru,industry
unknown,unknown,36.8423146,-1.306223,industrial,nairobi city,embakasi,industry
unknown,unknown,36.8629344,-1.3035001,industrial,nairobi city,embakasi,industry
unknown,unknown,36.8647132,-1.3064578,industrial,nairobi city,embakasi,industry
kasarani mwiki road,unknown,36.8688217,-1.3061199,industrial,nairobi city,kasarani,industry
unknown,unknown,36.8686292,-1.3047786,industrial,nairobi city,kasarani,industry
kasarani mwiki road,unknown,36.8710283,-1.303317,industrial,nairobi city,kasarani,industry
unknown,unknown,36.8763788,-1.304383,industrial,nairobi city,kasarani,industry
unknown,unknown,36.8806455,-1.3036612,industrial,nairobi city,kasarani,industry
unknown,unknown,36.8790342,-1.303304,industrial,nairobi city,langata,industry
unknown,unknown,36.8791947,-1.307487,industrial,nairobi city,langata,industry
unknown,pembe flour mills limited,36.8802322,-1.3073407,industrial,nairobi city,kasarani,industry
old mombosa road,unknown,36.8715496,-1.3084439,industrial,nairobi city,langata,industry
old mombosa road,unknown,36.8705691,-1.3085813,industrial,nairobi city,langata,industry
unknown,unknown,36.8692409,-1.3087286,industrial,nairobi city,embakasi,industry
unknown,unknown,36.8720016,-1.3098138,industrial,nairobi city,starehe,industry
unknown,unknown,36.8656541,-1.309063,industrial,nairobi city,starehe,industry
unknown,unknown,36.8594746,-1.3113872,industrial,nairobi city,makadara,industry
stima lane,unknown,36.857884,-1.3116204,industrial,nairobi city,westlands,industry
tala road,unknown,36.8597082,-1.3085996,industrial,nairobi city,westlands,industry
unknown,unknown,36.8579788,-1.3051023,industrial,nairobi city,embakasi,industry
unknown,unknown,36.9194765,-1.1872022,industrial,nairobi city,kasarani,industry
oloitokitok road,unknown,36.911112,-1.188048,industrial,nairobi city,westlands,industry
likoni road,unknown,36.9057757,-1.3663225,industrial,nairobi city,starehe,industry
uhuru highway,unknown,36.8255718,-1.3270544,industrial,nairobi city,starehe,industry
